# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of second jet
XLabel=$m(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~2})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_2
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_2 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_2
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.096478e+00	1.555336e-07	4.156809e-08	4.156809e-08
1.096478e+00	1.202264e+00	1.418484e-07	3.791056e-08	3.791056e-08
1.202264e+00	1.318257e+00	1.293662e-07	3.457456e-08	3.457456e-08
1.318257e+00	1.445440e+00	2.865327e-07	4.913996e-08	4.913996e-08
1.445440e+00	1.584893e+00	3.458669e-07	5.155879e-08	5.155879e-08
1.584893e+00	1.737801e+00	3.434711e-07	4.906731e-08	4.906731e-08
1.737801e+00	1.905461e+00	6.073214e-07	6.230986e-08	6.230986e-08
1.905461e+00	2.089296e+00	8.570642e-07	7.068949e-08	7.068949e-08
2.089296e+00	2.290868e+00	1.015611e-06	7.348706e-08	7.348706e-08
2.290868e+00	2.511886e+00	1.372408e-06	8.158117e-08	8.158117e-08
2.511886e+00	2.754229e+00	1.689496e-06	8.644215e-08	8.644215e-08
2.754229e+00	3.019952e+00	2.339501e-06	9.714249e-08	9.714249e-08
3.019952e+00	3.311311e+00	3.093798e-06	1.066827e-07	1.066827e-07
3.311311e+00	3.630781e+00	3.683804e-06	1.111720e-07	1.111720e-07
3.630781e+00	3.981072e+00	4.880408e-06	1.222013e-07	1.222013e-07
3.981072e+00	4.365158e+00	5.876981e-06	1.280634e-07	1.280634e-07
4.365158e+00	4.786301e+00	6.637468e-06	1.299716e-07	1.299716e-07
4.786301e+00	5.248075e+00	7.608583e-06	1.328922e-07	1.328922e-07
5.248075e+00	5.754399e+00	8.300278e-06	1.325544e-07	1.325544e-07
5.754399e+00	6.309573e+00	9.384710e-06	1.346040e-07	1.346040e-07
6.309573e+00	6.918310e+00	9.499179e-06	1.293273e-07	1.293273e-07
6.918310e+00	7.585776e+00	9.748897e-06	1.251196e-07	1.251196e-07
7.585776e+00	8.317638e+00	9.772739e-06	1.196343e-07	1.196343e-07
8.317638e+00	9.120108e+00	9.204025e-06	1.108758e-07	1.108758e-07
9.120108e+00	1.000000e+01	8.509883e-06	1.018144e-07	1.018144e-07
