# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of third jet
XLabel=$m(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~3})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_3
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_3
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_3
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.149757e+00	2.433415e-07	4.173272e-08	4.173272e-08
1.149757e+00	1.321941e+00	2.925698e-07	4.267568e-08	4.267568e-08
1.321941e+00	1.519911e+00	3.465013e-07	4.331267e-08	4.331267e-08
1.519911e+00	1.747528e+00	5.509417e-07	5.093456e-08	5.093456e-08
1.747528e+00	2.009233e+00	8.068237e-07	5.748379e-08	5.748379e-08
2.009233e+00	2.310130e+00	1.221801e-06	6.597108e-08	6.597108e-08
2.310130e+00	2.656088e+00	1.700879e-06	7.259173e-08	7.259173e-08
2.656088e+00	3.053856e+00	2.206878e-06	7.711457e-08	7.711457e-08
3.053856e+00	3.511192e+00	3.088904e-06	8.508375e-08	8.508375e-08
3.511192e+00	4.037017e+00	4.227580e-06	9.282982e-08	9.282982e-08
4.037017e+00	4.641589e+00	5.502981e-06	9.877275e-08	9.877275e-08
4.641589e+00	5.336699e+00	6.772253e-06	1.021885e-07	1.021885e-07
5.336699e+00	6.135907e+00	7.345262e-06	9.925123e-08	9.925123e-08
6.135907e+00	7.054802e+00	6.991578e-06	9.030605e-08	9.030605e-08
7.054802e+00	8.111308e+00	5.982511e-06	7.790547e-08	7.790547e-08
8.111308e+00	9.326033e+00	4.579455e-06	6.356676e-08	6.356676e-08
9.326033e+00	1.072267e+01	3.191756e-06	4.949203e-08	4.949203e-08
1.072267e+01	1.232847e+01	2.097864e-06	3.742011e-08	3.742011e-08
1.232847e+01	1.417474e+01	1.297498e-06	2.744529e-08	2.744529e-08
1.417474e+01	1.629751e+01	7.376861e-07	1.929952e-08	1.929952e-08
1.629751e+01	1.873817e+01	3.978737e-07	1.321847e-08	1.321847e-08
1.873817e+01	2.154435e+01	2.070180e-07	8.892184e-09	8.892184e-09
