# BEGIN PLOT
Legend=1
LogY=1
Title=Mass of fourth jet
XLabel=$m(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}m(\mathrm{jet~4})$ [pb/GeV]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_4
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_4
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_mass_4
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+00	1.202264e+00	9.538460e-08	2.248236e-08	2.248236e-08
1.202264e+00	1.445440e+00	1.807122e-07	2.822251e-08	2.822251e-08
1.445440e+00	1.737801e+00	2.126341e-07	2.792023e-08	2.792023e-08
1.737801e+00	2.089296e+00	3.415255e-07	3.227114e-08	3.227114e-08
2.089296e+00	2.511886e+00	5.326286e-07	3.675486e-08	3.675486e-08
2.511886e+00	3.019952e+00	8.501767e-07	4.235033e-08	4.235033e-08
3.019952e+00	3.630781e+00	1.249352e-06	4.682143e-08	4.682143e-08
3.630781e+00	4.365158e+00	1.891518e-06	5.254215e-08	5.254215e-08
4.365158e+00	5.248075e+00	2.551745e-06	5.565713e-08	5.565713e-08
5.248075e+00	6.309573e+00	2.767670e-06	5.286396e-08	5.286396e-08
6.309573e+00	7.585776e+00	2.327239e-06	4.421024e-08	4.421024e-08
7.585776e+00	9.120108e+00	1.521468e-06	3.260123e-08	3.260123e-08
9.120108e+00	1.096478e+01	7.605797e-07	2.102205e-08	2.102205e-08
1.096478e+01	1.318257e+01	3.358836e-07	1.274079e-08	1.274079e-08
1.318257e+01	1.584893e+01	1.338597e-07	7.335466e-09	7.335466e-09
1.584893e+01	1.905461e+01	4.781235e-08	3.998271e-09	3.998271e-09
1.905461e+01	2.290868e+01	1.279271e-08	1.886182e-09	1.886182e-09
2.290868e+01	2.754229e+01	5.782889e-09	1.156578e-09	1.156578e-09
2.754229e+01	3.311311e+01	9.620004e-10	4.302197e-10	4.302197e-10
3.311311e+01	3.981072e+01	1.600311e-10	1.600311e-10	1.600311e-10
3.981072e+01	4.786301e+01	0.000000e+00	0.000000e+00	0.000000e+00
4.786301e+01	5.754399e+01	1.107146e-10	1.107146e-10	1.107146e-10
