# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of leading jet
XLabel=$p_\perp(\mathrm{jet~1})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~1})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_1
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_1 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_1 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_1
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.060022e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.060022e+01	1.123646e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.123646e+01	1.191089e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.191089e+01	1.262581e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.262581e+01	1.338363e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.338363e+01	1.418694e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.418694e+01	1.503847e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.503847e+01	1.594110e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.594110e+01	1.689791e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.689791e+01	1.791216e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.791216e+01	1.898728e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.898728e+01	2.012693e+01	3.761949e-09	1.880974e-09	1.880974e-09
2.012693e+01	2.133498e+01	1.508302e-08	3.658170e-09	3.658170e-09
2.133498e+01	2.261554e+01	2.343594e-08	4.428977e-09	4.428977e-09
2.261554e+01	2.397297e+01	3.869038e-08	5.527197e-09	5.527197e-09
2.397297e+01	2.541187e+01	3.277528e-08	4.941060e-09	4.941060e-09
2.541187e+01	2.693714e+01	5.481157e-08	6.206188e-09	6.206188e-09
2.693714e+01	2.855395e+01	4.176437e-08	5.261816e-09	5.261816e-09
2.855395e+01	3.026781e+01	7.692262e-08	6.935880e-09	6.935880e-09
3.026781e+01	3.208454e+01	7.551684e-08	6.674812e-09	6.674812e-09
3.208454e+01	3.401031e+01	9.628663e-08	7.320539e-09	7.320539e-09
3.401031e+01	3.605167e+01	1.071112e-07	7.499284e-09	7.499284e-09
3.605167e+01	3.821555e+01	1.238315e-07	7.831792e-09	7.831792e-09
3.821555e+01	4.050932e+01	1.499959e-07	8.371957e-09	8.371957e-09
4.050932e+01	4.294076e+01	1.811768e-07	8.936794e-09	8.936794e-09
4.294076e+01	4.551814e+01	1.991964e-07	9.101514e-09	9.101514e-09
4.551814e+01	4.825022e+01	2.338176e-07	9.577543e-09	9.577543e-09
4.825022e+01	5.114629e+01	2.572173e-07	9.756807e-09	9.756807e-09
5.114629e+01	5.421618e+01	2.800115e-07	9.887551e-09	9.887551e-09
5.421618e+01	5.747033e+01	3.129035e-07	1.015193e-08	1.015193e-08
5.747033e+01	6.091980e+01	3.588838e-07	1.055998e-08	1.055998e-08
6.091980e+01	6.457631e+01	3.734454e-07	1.046267e-08	1.046267e-08
6.457631e+01	6.845230e+01	4.277914e-07	1.087644e-08	1.087644e-08
6.845230e+01	7.256093e+01	4.458301e-07	1.078446e-08	1.078446e-08
7.256093e+01	7.691616e+01	4.806352e-07	1.087588e-08	1.087588e-08
7.691616e+01	8.153281e+01	4.926548e-07	1.069474e-08	1.069474e-08
8.153281e+01	8.642655e+01	5.282759e-07	1.075653e-08	1.075653e-08
8.642655e+01	9.161403e+01	5.291484e-07	1.045617e-08	1.045617e-08
9.161403e+01	9.711287e+01	5.594163e-07	1.044225e-08	1.044225e-08
9.711287e+01	1.029418e+02	5.713165e-07	1.024958e-08	1.024958e-08
1.029418e+02	1.091205e+02	5.786997e-07	1.001937e-08	1.001937e-08
1.091205e+02	1.156701e+02	5.799670e-07	9.742186e-09	9.742186e-09
1.156701e+02	1.226128e+02	5.605602e-07	9.302701e-09	9.302701e-09
1.226128e+02	1.299723e+02	5.486200e-07	8.938689e-09	8.938689e-09
1.299723e+02	1.377734e+02	5.280061e-07	8.517335e-09	8.517335e-09
1.377734e+02	1.460429e+02	5.119672e-07	8.145986e-09	8.145986e-09
1.460429e+02	1.548086e+02	4.943579e-07	7.774807e-09	7.774807e-09
1.548086e+02	1.641005e+02	4.818194e-07	7.455076e-09	7.455076e-09
1.641005e+02	1.739501e+02	4.425679e-07	6.939735e-09	6.939735e-09
1.739501e+02	1.843909e+02	4.196637e-07	6.563659e-09	6.563659e-09
1.843909e+02	1.954584e+02	3.884432e-07	6.133398e-09	6.133398e-09
1.954584e+02	2.071901e+02	3.532951e-07	5.681336e-09	5.681336e-09
2.071901e+02	2.196260e+02	3.186373e-07	5.240490e-09	5.240490e-09
