# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of second jet
XLabel=$p_\perp(\mathrm{jet~2})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~2})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_2
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_2
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.114571e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.114571e+01	1.242269e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.242269e+01	1.384597e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.384597e+01	1.543231e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.543231e+01	1.720041e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.720041e+01	1.917108e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.917108e+01	2.136753e+01	3.518344e-07	1.310300e-08	1.310300e-08
2.136753e+01	2.381563e+01	6.755557e-07	1.719801e-08	1.719801e-08
2.381563e+01	2.654421e+01	7.671672e-07	1.735956e-08	1.735956e-08
2.654421e+01	2.958541e+01	8.405580e-07	1.721169e-08	1.721169e-08
2.958541e+01	3.297504e+01	9.163690e-07	1.702242e-08	1.702242e-08
3.297504e+01	3.675302e+01	9.801955e-07	1.667588e-08	1.667588e-08
3.675302e+01	4.096385e+01	1.013580e-06	1.606228e-08	1.606228e-08
4.096385e+01	4.565712e+01	1.100311e-06	1.585193e-08	1.585193e-08
4.565712e+01	5.088811e+01	1.080639e-06	1.488026e-08	1.488026e-08
5.088811e+01	5.671841e+01	1.071219e-06	1.403318e-08	1.403318e-08
5.671841e+01	6.321670e+01	1.041100e-06	1.310415e-08	1.310415e-08
6.321670e+01	7.045950e+01	9.592391e-07	1.191441e-08	1.191441e-08
7.045950e+01	7.853212e+01	8.889154e-07	1.086388e-08	1.086388e-08
7.853212e+01	8.752962e+01	8.204131e-07	9.885930e-09	9.885930e-09
8.752962e+01	9.755798e+01	6.976025e-07	8.634780e-09	8.634780e-09
9.755798e+01	1.087353e+02	6.106463e-07	7.652233e-09	7.652233e-09
1.087353e+02	1.211932e+02	5.001265e-07	6.559635e-09	6.559635e-09
1.211932e+02	1.350785e+02	4.052550e-07	5.593051e-09	5.593051e-09
1.350785e+02	1.505545e+02	3.212847e-07	4.717130e-09	4.717130e-09
1.505545e+02	1.678037e+02	2.450091e-07	3.901834e-09	3.901834e-09
1.678037e+02	1.870292e+02	1.874880e-07	3.233033e-09	3.233033e-09
1.870292e+02	2.084573e+02	1.406052e-07	2.651985e-09	2.651985e-09
2.084573e+02	2.323405e+02	9.994293e-08	2.117834e-09	2.117834e-09
2.323405e+02	2.589599e+02	6.824891e-08	1.657719e-09	1.657719e-09
2.589599e+02	2.886293e+02	4.671045e-08	1.299017e-09	1.299017e-09
2.886293e+02	3.216978e+02	3.348189e-08	1.041742e-09	1.041742e-09
3.216978e+02	3.585551e+02	2.259549e-08	8.106089e-10	8.106089e-10
3.585551e+02	3.996351e+02	1.510680e-08	6.278172e-10	6.278172e-10
3.996351e+02	4.454217e+02	9.457304e-09	4.705184e-10	4.705184e-10
4.454217e+02	4.964541e+02	6.027820e-09	3.558110e-10	3.558110e-10
4.964541e+02	5.533334e+02	3.655711e-09	2.624647e-10	2.624647e-10
5.533334e+02	6.167294e+02	2.214796e-09	1.935077e-10	1.935077e-10
6.167294e+02	6.873887e+02	1.198346e-09	1.348244e-10	1.348244e-10
6.873887e+02	7.661435e+02	6.668734e-10	9.526763e-11	9.526763e-11
7.661435e+02	8.539214e+02	3.541092e-10	6.575642e-11	6.575642e-11
8.539214e+02	9.517560e+02	1.862433e-10	4.517065e-11	4.517065e-11
9.517560e+02	1.060800e+03	5.897580e-11	2.407677e-11	2.407677e-11
1.060800e+03	1.182337e+03	5.291357e-11	2.160188e-11	2.160188e-11
1.182337e+03	1.317798e+03	3.164974e-11	1.582487e-11	1.582487e-11
1.317798e+03	1.468780e+03	7.099032e-12	7.099032e-12	7.099032e-12
1.468780e+03	1.637059e+03	6.369339e-12	6.369339e-12	6.369339e-12
1.637059e+03	1.824619e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.824619e+03	2.033667e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.033667e+03	2.266667e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_2
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_2
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.114571e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.114571e+01	1.242269e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.242269e+01	1.384597e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.384597e+01	1.543231e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.543231e+01	1.720041e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.720041e+01	1.917108e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.917108e+01	2.136753e+01	3.707289e-07	1.346548e-08	1.346548e-08
2.136753e+01	2.381563e+01	6.757718e-07	1.722026e-08	1.722026e-08
2.381563e+01	2.654421e+01	7.476475e-07	1.715672e-08	1.715672e-08
2.654421e+01	2.958541e+01	8.149129e-07	1.696631e-08	1.696631e-08
2.958541e+01	3.297504e+01	8.924602e-07	1.681793e-08	1.681793e-08
3.297504e+01	3.675302e+01	9.809975e-07	1.670161e-08	1.670161e-08
3.675302e+01	4.096385e+01	1.009246e-06	1.604608e-08	1.604608e-08
4.096385e+01	4.565712e+01	1.067329e-06	1.563024e-08	1.563024e-08
4.565712e+01	5.088811e+01	1.084939e-06	1.492674e-08	1.492674e-08
5.088811e+01	5.671841e+01	1.072729e-06	1.405898e-08	1.405898e-08
5.671841e+01	6.321670e+01	1.040816e-06	1.311722e-08	1.311722e-08
6.321670e+01	7.045950e+01	9.860366e-07	1.209338e-08	1.209338e-08
7.045950e+01	7.853212e+01	8.949243e-07	1.091290e-08	1.091290e-08
7.853212e+01	8.752962e+01	8.047233e-07	9.802043e-09	9.802043e-09
8.752962e+01	9.755798e+01	6.980069e-07	8.647073e-09	8.647073e-09
9.755798e+01	1.087353e+02	6.131850e-07	7.676817e-09	7.676817e-09
1.087353e+02	1.211932e+02	4.985017e-07	6.556396e-09	6.556396e-09
1.211932e+02	1.350785e+02	4.081859e-07	5.619603e-09	5.619603e-09
1.350785e+02	1.505545e+02	3.294409e-07	4.782045e-09	4.782045e-09
1.505545e+02	1.678037e+02	2.446930e-07	3.903737e-09	3.903737e-09
1.678037e+02	1.870292e+02	1.874105e-07	3.236029e-09	3.236029e-09
1.870292e+02	2.084573e+02	1.354597e-07	2.605959e-09	2.605959e-09
2.084573e+02	2.323405e+02	1.008893e-07	2.130250e-09	2.130250e-09
2.323405e+02	2.589599e+02	6.816160e-08	1.658537e-09	1.658537e-09
2.589599e+02	2.886293e+02	4.869923e-08	1.327886e-09	1.327886e-09
2.886293e+02	3.216978e+02	3.232342e-08	1.024721e-09	1.024721e-09
3.216978e+02	3.585551e+02	2.209297e-08	8.024530e-10	8.024530e-10
3.585551e+02	3.996351e+02	1.521952e-08	6.308696e-10	6.308696e-10
3.996351e+02	4.454217e+02	9.431834e-09	4.704172e-10	4.704172e-10
4.454217e+02	4.964541e+02	5.704688e-09	3.465351e-10	3.465351e-10
4.964541e+02	5.533334e+02	3.852871e-09	2.697549e-10	2.697549e-10
5.533334e+02	6.167294e+02	1.999533e-09	1.840720e-10	1.840720e-10
6.167294e+02	6.873887e+02	1.246674e-09	1.376722e-10	1.376722e-10
6.873887e+02	7.661435e+02	7.911511e-10	1.038832e-10	1.038832e-10
7.661435e+02	8.539214e+02	3.671508e-10	6.703228e-11	6.703228e-11
8.539214e+02	9.517560e+02	1.427445e-10	3.959021e-11	3.959021e-11
9.517560e+02	1.060800e+03	9.851601e-11	3.115349e-11	3.115349e-11
1.060800e+03	1.182337e+03	4.419468e-11	1.976446e-11	1.976446e-11
1.182337e+03	1.317798e+03	7.930386e-12	7.930385e-12	7.930385e-12
1.317798e+03	1.468780e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.468780e+03	1.637059e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.637059e+03	1.824619e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.824619e+03	2.033667e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.033667e+03	2.266667e+03	4.610549e-12	4.610549e-12	4.610549e-12
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_2
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_2
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.114571e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.114571e+01	1.242269e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.242269e+01	1.384597e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.384597e+01	1.543231e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.543231e+01	1.720041e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.720041e+01	1.917108e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.917108e+01	2.136753e+01	1.985162e-07	7.062888e-09	7.062888e-09
2.136753e+01	2.381563e+01	3.336742e-07	8.673449e-09	8.673449e-09
2.381563e+01	2.654421e+01	3.723977e-07	8.679212e-09	8.679212e-09
2.654421e+01	2.958541e+01	4.361130e-07	8.896558e-09	8.896558e-09
2.958541e+01	3.297504e+01	4.661860e-07	8.712615e-09	8.712615e-09
3.297504e+01	3.675302e+01	5.012464e-07	8.557381e-09	8.557381e-09
3.675302e+01	4.096385e+01	5.300703e-07	8.335429e-09	8.335429e-09
4.096385e+01	4.565712e+01	5.273272e-07	7.874943e-09	7.874943e-09
4.565712e+01	5.088811e+01	5.352677e-07	7.515168e-09	7.515168e-09
5.088811e+01	5.671841e+01	5.465134e-07	7.192834e-09	7.192834e-09
5.671841e+01	6.321670e+01	5.144564e-07	6.610279e-09	6.610279e-09
6.321670e+01	7.045950e+01	4.895411e-07	6.107822e-09	6.107822e-09
7.045950e+01	7.853212e+01	4.523463e-07	5.561262e-09	5.561262e-09
7.853212e+01	8.752962e+01	4.025358e-07	4.969199e-09	4.969199e-09
8.752962e+01	9.755798e+01	3.533420e-07	4.409890e-09	4.409890e-09
9.755798e+01	1.087353e+02	3.119838e-07	3.925023e-09	3.925023e-09
1.087353e+02	1.211932e+02	2.550152e-07	3.361288e-09	3.361288e-09
1.211932e+02	1.350785e+02	2.053872e-07	2.857289e-09	2.857289e-09
1.350785e+02	1.505545e+02	1.602745e-07	2.390826e-09	2.390826e-09
1.505545e+02	1.678037e+02	1.225839e-07	1.980511e-09	1.980511e-09
1.678037e+02	1.870292e+02	9.436530e-08	1.645933e-09	1.645933e-09
1.870292e+02	2.084573e+02	7.003509e-08	1.343108e-09	1.343108e-09
2.084573e+02	2.323405e+02	5.225142e-08	1.098874e-09	1.098874e-09
2.323405e+02	2.589599e+02	3.502043e-08	8.521317e-10	8.521317e-10
2.589599e+02	2.886293e+02	2.384896e-08	6.660785e-10	6.660785e-10
2.886293e+02	3.216978e+02	1.664067e-08	5.270153e-10	5.270153e-10
3.216978e+02	3.585551e+02	1.187517e-08	4.216996e-10	4.216996e-10
3.585551e+02	3.996351e+02	7.335881e-09	3.139468e-10	3.139468e-10
3.996351e+02	4.454217e+02	5.074974e-09	2.473391e-10	2.473391e-10
4.454217e+02	4.964541e+02	2.768753e-09	1.730470e-10	1.730470e-10
4.964541e+02	5.533334e+02	1.882511e-09	1.351564e-10	1.351564e-10
5.533334e+02	6.167294e+02	1.262398e-09	1.048364e-10	1.048364e-10
6.167294e+02	6.873887e+02	6.795792e-10	7.285853e-11	7.285853e-11
6.873887e+02	7.661435e+02	3.574237e-10	5.004932e-11	5.004932e-11
7.661435e+02	8.539214e+02	2.075004e-10	3.612119e-11	3.612119e-11
8.539214e+02	9.517560e+02	9.026464e-11	2.256616e-11	2.256616e-11
9.517560e+02	1.060800e+03	4.555446e-11	1.518482e-11	1.518482e-11
1.060800e+03	1.182337e+03	9.082633e-12	6.422389e-12	6.422389e-12
1.182337e+03	1.317798e+03	4.074514e-12	4.074514e-12	4.074514e-12
1.317798e+03	1.468780e+03	3.655653e-12	3.655653e-12	3.655653e-12
1.468780e+03	1.637059e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.637059e+03	1.824619e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.824619e+03	2.033667e+03	0.000000e+00	0.000000e+00	0.000000e+00
2.033667e+03	2.266667e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

