# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of third jet
XLabel=$p_\perp(\mathrm{jet~3})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~3})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_3
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_3
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_3
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.168394e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.168394e+01	1.365145e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.365145e+01	1.595027e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.595027e+01	1.863620e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.863620e+01	2.177443e+01	1.253446e-06	2.069058e-08	2.069058e-08
2.177443e+01	2.544112e+01	1.835442e-06	2.316303e-08	2.316303e-08
2.544112e+01	2.972525e+01	1.543893e-06	1.965348e-08	1.965348e-08
2.972525e+01	3.473081e+01	1.213030e-06	1.611653e-08	1.611653e-08
3.473081e+01	4.057927e+01	9.790090e-07	1.339475e-08	1.339475e-08
4.057927e+01	4.741258e+01	7.510129e-07	1.085351e-08	1.085351e-08
4.741258e+01	5.539658e+01	5.453104e-07	8.556060e-09	8.556060e-09
5.539658e+01	6.472504e+01	4.104175e-07	6.867049e-09	6.867049e-09
6.472504e+01	7.562436e+01	2.738736e-07	5.189644e-09	5.189644e-09
7.562436e+01	8.835905e+01	1.778425e-07	3.868884e-09	3.868884e-09
8.835905e+01	1.032382e+02	1.141761e-07	2.867879e-09	2.867879e-09
1.032382e+02	1.206229e+02	7.016158e-08	2.079832e-09	2.079832e-09
1.206229e+02	1.409351e+02	4.237239e-08	1.495289e-09	1.495289e-09
1.409351e+02	1.646677e+02	2.285228e-08	1.015908e-09	1.015908e-09
1.646677e+02	1.923968e+02	1.178931e-08	6.750540e-10	6.750540e-10
1.923968e+02	2.247953e+02	5.028554e-09	4.078695e-10	4.078695e-10
2.247953e+02	2.626495e+02	2.746514e-09	2.788664e-10	2.788664e-10
2.626495e+02	3.068781e+02	1.429793e-09	1.861432e-10	1.861432e-10
3.068781e+02	3.585546e+02	4.563037e-10	9.728427e-11	9.728427e-11
