# BEGIN PLOT
Legend=1
LogY=1
Title=Transverse momentum of fourth jet
XLabel=$p_\perp(\mathrm{jet~4})$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}p_\perp(\mathrm{jet~4})$ [pb/GeV]
LogX=1
LegendXPos=0.05
LegendYPos=0.5
XMin=20.0
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_4
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_4 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_4
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_4
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.217143e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.217143e+01	1.481437e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.481437e+01	1.803120e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.803120e+01	2.194655e+01	6.452281e-07	1.329026e-08	1.329026e-08
2.194655e+01	2.671208e+01	9.079708e-07	1.429034e-08	1.429034e-08
2.671208e+01	3.251242e+01	5.406861e-07	9.995582e-09	9.995582e-09
3.251242e+01	3.957226e+01	3.347635e-07	7.129085e-09	7.129085e-09
3.957226e+01	4.816510e+01	1.849817e-07	4.803504e-09	4.803504e-09
4.816510e+01	5.862381e+01	1.002271e-07	3.204908e-09	3.204908e-09
5.862381e+01	7.135355e+01	4.976137e-08	2.046909e-09	2.046909e-09
7.135355e+01	8.684746e+01	2.732501e-08	1.374871e-09	1.374871e-09
8.684746e+01	1.057058e+02	1.187865e-08	8.216636e-10	8.216636e-10
1.057058e+02	1.286590e+02	5.556842e-09	5.093948e-10	5.093948e-10
1.286590e+02	1.565964e+02	1.994995e-09	2.766560e-10	2.766560e-10
1.565964e+02	1.906002e+02	5.358531e-10	1.299635e-10	1.299635e-10
1.906002e+02	2.319877e+02	2.071787e-10	7.324874e-11	7.324874e-11
2.319877e+02	2.823621e+02	4.255439e-11	3.009051e-11	3.009051e-11
2.823621e+02	3.436751e+02	1.748122e-11	1.748122e-11	1.748122e-11
3.436751e+02	4.183016e+02	1.436254e-11	1.436254e-11	1.436254e-11
4.183016e+02	5.091329e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.091329e+02	6.196874e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.196874e+02	7.542481e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.542481e+02	9.180277e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.180277e+02	1.117371e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.117371e+03	1.360000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_4
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.217143e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.217143e+01	1.481437e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.481437e+01	1.803120e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.803120e+01	2.194655e+01	6.359917e-07	1.320975e-08	1.320975e-08
2.194655e+01	2.671208e+01	9.167935e-07	1.437588e-08	1.437588e-08
2.671208e+01	3.251242e+01	5.389494e-07	9.990830e-09	9.990830e-09
3.251242e+01	3.957226e+01	3.292842e-07	7.078518e-09	7.078518e-09
3.957226e+01	4.816510e+01	1.947777e-07	4.934641e-09	4.934641e-09
4.816510e+01	5.862381e+01	9.542147e-08	3.130677e-09	3.130677e-09
5.862381e+01	7.135355e+01	5.527520e-08	2.159781e-09	2.159781e-09
7.135355e+01	8.684746e+01	2.502965e-08	1.317350e-09	1.317350e-09
8.684746e+01	1.057058e+02	1.093720e-08	7.893246e-10	7.893246e-10
1.057058e+02	1.286590e+02	4.539803e-09	4.609472e-10	4.609472e-10
1.286590e+02	1.565964e+02	1.999521e-09	2.772836e-10	2.772836e-10
1.565964e+02	1.906002e+02	6.634379e-10	1.447741e-10	1.447741e-10
1.906002e+02	2.319877e+02	2.855171e-10	8.608663e-11	8.608663e-11
2.319877e+02	2.823621e+02	4.265095e-11	3.015877e-11	3.015877e-11
2.823621e+02	3.436751e+02	1.752088e-11	1.752088e-11	1.752088e-11
3.436751e+02	4.183016e+02	0.000000e+00	0.000000e+00	0.000000e+00
4.183016e+02	5.091329e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.091329e+02	6.196874e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.196874e+02	7.542481e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.542481e+02	9.180277e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.180277e+02	1.117371e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.117371e+03	1.360000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_4
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_pT_4
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
1.000000e+01	1.217143e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.217143e+01	1.481437e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.481437e+01	1.803120e+01	0.000000e+00	0.000000e+00	0.000000e+00
1.803120e+01	2.194655e+01	3.333886e-07	6.855436e-09	6.855436e-09
2.194655e+01	2.671208e+01	4.457865e-07	7.185431e-09	7.185431e-09
2.671208e+01	3.251242e+01	2.794734e-07	5.156899e-09	5.156899e-09
3.251242e+01	3.957226e+01	1.678522e-07	3.622524e-09	3.622524e-09
3.957226e+01	4.816510e+01	9.358645e-08	2.451790e-09	2.451790e-09
4.816510e+01	5.862381e+01	5.456731e-08	1.696963e-09	1.696963e-09
5.862381e+01	7.135355e+01	2.714220e-08	1.084820e-09	1.084820e-09
7.135355e+01	8.684746e+01	1.225427e-08	6.607063e-10	6.607063e-10
8.684746e+01	1.057058e+02	5.297430e-09	3.937549e-10	3.937549e-10
1.057058e+02	1.286590e+02	2.356530e-09	2.380455e-10	2.380455e-10
1.286590e+02	1.565964e+02	7.704930e-10	1.233776e-10	1.233776e-10
1.565964e+02	1.906002e+02	2.597064e-10	6.492660e-11	6.492660e-11
1.906002e+02	2.319877e+02	6.667929e-11	2.981989e-11	2.981989e-11
2.319877e+02	2.823621e+02	3.287013e-11	1.897758e-11	1.897758e-11
2.823621e+02	3.436751e+02	1.800395e-11	1.273071e-11	1.273071e-11
3.436751e+02	4.183016e+02	7.396003e-12	7.396002e-12	7.396002e-12
4.183016e+02	5.091329e+02	0.000000e+00	0.000000e+00	0.000000e+00
5.091329e+02	6.196874e+02	0.000000e+00	0.000000e+00	0.000000e+00
6.196874e+02	7.542481e+02	0.000000e+00	0.000000e+00	0.000000e+00
7.542481e+02	9.180277e+02	0.000000e+00	0.000000e+00	0.000000e+00
9.180277e+02	1.117371e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.117371e+03	1.360000e+03	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D

