# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of first jet
XLabel=$y(\mathrm{jet~1})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~1})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_1
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_1 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_1
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_1
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_1
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_1
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.339782e-07	2.679565e-08	2.679565e-08
-4.800000e+00	-4.600000e+00	3.322661e-07	4.219784e-08	4.219784e-08
-4.600000e+00	-4.400000e+00	6.859685e-07	6.063165e-08	6.063165e-08
-4.400000e+00	-4.200000e+00	1.136135e-06	7.803012e-08	7.803012e-08
-4.200000e+00	-4.000000e+00	2.041829e-06	1.046061e-07	1.046061e-07
-4.000000e+00	-3.800000e+00	3.076141e-06	1.283956e-07	1.283956e-07
-3.800000e+00	-3.600000e+00	4.448079e-06	1.543951e-07	1.543951e-07
-3.600000e+00	-3.400000e+00	6.436315e-06	1.857230e-07	1.857230e-07
-3.400000e+00	-3.200000e+00	8.858645e-06	2.178867e-07	2.178867e-07
-3.200000e+00	-3.000000e+00	1.153821e-05	2.486660e-07	2.486660e-07
-3.000000e+00	-2.800000e+00	1.430352e-05	2.768654e-07	2.768654e-07
-2.800000e+00	-2.600000e+00	1.582016e-05	2.911740e-07	2.911740e-07
-2.600000e+00	-2.400000e+00	1.747612e-05	3.060341e-07	3.060341e-07
-2.400000e+00	-2.200000e+00	1.887486e-05	3.180454e-07	3.180454e-07
-2.200000e+00	-2.000000e+00	2.078807e-05	3.337753e-07	3.337753e-07
-2.000000e+00	-1.800000e+00	1.968945e-05	3.248358e-07	3.248358e-07
-1.800000e+00	-1.600000e+00	1.967337e-05	3.247032e-07	3.247032e-07
-1.600000e+00	-1.400000e+00	1.933574e-05	3.219049e-07	3.219049e-07
-1.400000e+00	-1.200000e+00	1.776552e-05	3.085575e-07	3.085575e-07
-1.200000e+00	-1.000000e+00	1.803348e-05	3.108758e-07	3.108758e-07
-1.000000e+00	-8.000000e-01	1.659723e-05	2.982394e-07	2.982394e-07
-8.000000e-01	-6.000000e-01	1.584695e-05	2.914204e-07	2.914204e-07
-6.000000e-01	-4.000000e-01	1.500557e-05	2.835786e-07	2.835786e-07
-4.000000e-01	-2.000000e-01	1.423385e-05	2.761903e-07	2.761903e-07
-2.000000e-01	0.000000e+00	1.367115e-05	2.706759e-07	2.706759e-07
0.000000e+00	2.000000e-01	1.441606e-05	2.779525e-07	2.779525e-07
2.000000e-01	4.000000e-01	1.414810e-05	2.753571e-07	2.753571e-07
4.000000e-01	6.000000e-01	1.518778e-05	2.852951e-07	2.852951e-07
6.000000e-01	8.000000e-01	1.634535e-05	2.959677e-07	2.959677e-07
8.000000e-01	1.000000e+00	1.631856e-05	2.957250e-07	2.957250e-07
1.000000e+00	1.200000e+00	1.787270e-05	3.094869e-07	3.094869e-07
1.200000e+00	1.400000e+00	1.822105e-05	3.124884e-07	3.124884e-07
1.400000e+00	1.600000e+00	1.918033e-05	3.206086e-07	3.206086e-07
1.600000e+00	1.800000e+00	1.955011e-05	3.236844e-07	3.236844e-07
1.800000e+00	2.000000e+00	2.037006e-05	3.304025e-07	3.304025e-07
2.000000e+00	2.200000e+00	1.934646e-05	3.219941e-07	3.219941e-07
2.200000e+00	2.400000e+00	1.920177e-05	3.207877e-07	3.207877e-07
2.400000e+00	2.600000e+00	1.799596e-05	3.105523e-07	3.105523e-07
2.600000e+00	2.800000e+00	1.545038e-05	2.877509e-07	2.877509e-07
2.800000e+00	3.000000e+00	1.399805e-05	2.738930e-07	2.738930e-07
3.000000e+00	3.200000e+00	1.116843e-05	2.446489e-07	2.446489e-07
3.200000e+00	3.400000e+00	9.115880e-06	2.210276e-07	2.210276e-07
3.400000e+00	3.600000e+00	6.618525e-06	1.883336e-07	1.883336e-07
3.600000e+00	3.800000e+00	4.442720e-06	1.543020e-07	1.543020e-07
3.800000e+00	4.000000e+00	3.194042e-06	1.308331e-07	1.308331e-07
4.000000e+00	4.200000e+00	1.918569e-06	1.013995e-07	1.013995e-07
4.200000e+00	4.400000e+00	1.189727e-06	7.984925e-08	7.984925e-08
