# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of second jet
XLabel=$y(\mathrm{jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~2})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_2
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_2 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_2
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_2
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_2
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_2
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.800000e+00	1.002157e-06	7.328501e-08	7.328501e-08
-4.800000e+00	-4.600000e+00	1.521993e-06	9.031368e-08	9.031368e-08
-4.600000e+00	-4.400000e+00	2.309786e-06	1.112584e-07	1.112584e-07
-4.400000e+00	-4.200000e+00	3.788905e-06	1.424965e-07	1.424965e-07
-4.200000e+00	-4.000000e+00	5.026865e-06	1.641329e-07	1.641329e-07
-4.000000e+00	-3.800000e+00	6.806095e-06	1.909836e-07	1.909836e-07
-3.800000e+00	-3.600000e+00	8.890800e-06	2.182818e-07	2.182818e-07
-3.600000e+00	-3.400000e+00	1.065931e-05	2.390076e-07	2.390076e-07
-3.400000e+00	-3.200000e+00	1.265291e-05	2.604008e-07	2.604008e-07
-3.200000e+00	-3.000000e+00	1.515026e-05	2.849425e-07	2.849425e-07
-3.000000e+00	-2.800000e+00	1.594341e-05	2.923061e-07	2.923061e-07
-2.800000e+00	-2.600000e+00	1.741182e-05	3.054705e-07	3.054705e-07
-2.600000e+00	-2.400000e+00	1.755651e-05	3.067371e-07	3.067371e-07
-2.400000e+00	-2.200000e+00	1.832287e-05	3.133603e-07	3.133603e-07
-2.200000e+00	-2.000000e+00	1.720817e-05	3.036788e-07	3.036788e-07
-2.000000e+00	-1.800000e+00	1.671513e-05	2.992968e-07	2.992968e-07
-1.800000e+00	-1.600000e+00	1.625961e-05	2.951904e-07	2.951904e-07
-1.600000e+00	-1.400000e+00	1.584159e-05	2.913712e-07	2.913712e-07
-1.400000e+00	-1.200000e+00	1.396590e-05	2.735782e-07	2.735782e-07
-1.200000e+00	-1.000000e+00	1.327993e-05	2.667750e-07	2.667750e-07
