# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of third jet
XLabel=$y(\mathrm{jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_3
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_3 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_3
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_3
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_3
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_3
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	4.769627e-07	3.574986e-08	3.574986e-08
-4.600000e+00	-4.200000e+00	1.256716e-06	5.802976e-08	5.802976e-08
-4.200000e+00	-3.800000e+00	2.387493e-06	7.998402e-08	7.998402e-08
-3.800000e+00	-3.400000e+00	3.989873e-06	1.033979e-07	1.033979e-07
-3.400000e+00	-3.000000e+00	5.731590e-06	1.239281e-07	1.239281e-07
-3.000000e+00	-2.600000e+00	7.012423e-06	1.370775e-07	1.370775e-07
-2.600000e+00	-2.200000e+00	7.725188e-06	1.438754e-07	1.438754e-07
-2.200000e+00	-1.800000e+00	7.883282e-06	1.453402e-07	1.453402e-07
-1.800000e+00	-1.400000e+00	7.585850e-06	1.425720e-07	1.425720e-07
-1.400000e+00	-1.000000e+00	6.950793e-06	1.364738e-07	1.364738e-07
-1.000000e+00	-6.000000e-01	5.884325e-06	1.255685e-07	1.255685e-07
-6.000000e-01	-2.000000e-01	5.522585e-06	1.216475e-07	1.216475e-07
-2.000000e-01	2.000000e-01	5.573495e-06	1.222070e-07	1.222070e-07
2.000000e-01	6.000000e-01	5.718193e-06	1.237832e-07	1.237832e-07
6.000000e-01	1.000000e+00	6.238027e-06	1.292873e-07	1.292873e-07
1.000000e+00	1.400000e+00	6.873085e-06	1.357088e-07	1.357088e-07
1.400000e+00	1.800000e+00	7.631402e-06	1.429995e-07	1.429995e-07
1.800000e+00	2.200000e+00	7.987785e-06	1.463004e-07	1.463004e-07
2.200000e+00	2.600000e+00	8.135160e-06	1.476438e-07	1.476438e-07
2.600000e+00	3.000000e+00	7.141043e-06	1.383289e-07	1.383289e-07
3.000000e+00	3.400000e+00	5.678000e-06	1.233473e-07	1.233473e-07
3.400000e+00	3.800000e+00	4.035425e-06	1.039865e-07	1.039865e-07
3.800000e+00	4.200000e+00	2.416968e-06	8.047624e-08	8.047624e-08
4.200000e+00	4.600000e+00	1.120058e-06	5.478384e-08	5.478384e-08
4.600000e+00	5.000000e+00	4.635647e-07	3.524418e-08	3.524418e-08
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_3
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_3
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	4.538740e-07	3.491337e-08	3.491337e-08
-4.600000e+00	-4.200000e+00	1.216597e-06	5.716071e-08	5.716071e-08
-4.200000e+00	-3.800000e+00	2.398280e-06	8.025541e-08	8.025541e-08
-3.800000e+00	-3.400000e+00	4.181548e-06	1.059724e-07	1.059724e-07
-3.400000e+00	-3.000000e+00	5.870820e-06	1.255664e-07	1.255664e-07
-3.000000e+00	-2.600000e+00	7.138443e-06	1.384605e-07	1.384605e-07
-2.600000e+00	-2.200000e+00	7.954880e-06	1.461642e-07	1.461642e-07
-2.200000e+00	-1.800000e+00	7.804482e-06	1.447759e-07	1.447759e-07
-1.800000e+00	-1.400000e+00	7.463405e-06	1.415770e-07	1.415770e-07
-1.400000e+00	-1.000000e+00	6.636228e-06	1.335011e-07	1.335011e-07
-1.000000e+00	-6.000000e-01	6.190410e-06	1.289389e-07	1.289389e-07
-6.000000e-01	-2.000000e-01	5.505573e-06	1.215977e-07	1.215977e-07
-2.000000e-01	2.000000e-01	5.239693e-06	1.186253e-07	1.186253e-07
2.000000e-01	6.000000e-01	5.427687e-06	1.207346e-07	1.207346e-07
6.000000e-01	1.000000e+00	6.074927e-06	1.277306e-07	1.277306e-07
1.000000e+00	1.400000e+00	6.902108e-06	1.361492e-07	1.361492e-07
1.400000e+00	1.800000e+00	7.369407e-06	1.406827e-07	1.406827e-07
1.800000e+00	2.200000e+00	8.145560e-06	1.479056e-07	1.479056e-07
2.200000e+00	2.600000e+00	7.761513e-06	1.443768e-07	1.443768e-07
2.600000e+00	3.000000e+00	7.157243e-06	1.386428e-07	1.386428e-07
3.000000e+00	3.400000e+00	5.712365e-06	1.238603e-07	1.238603e-07
3.400000e+00	3.800000e+00	3.818988e-06	1.012741e-07	1.012741e-07
3.800000e+00	4.200000e+00	2.543305e-06	8.264631e-08	8.264631e-08
4.200000e+00	4.600000e+00	1.267624e-06	5.834713e-08	5.834713e-08
4.600000e+00	5.000000e+00	5.075867e-07	3.692150e-08	3.692150e-08
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_3
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_3
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.414728e-07	1.825363e-08	1.825363e-08
-4.600000e+00	-4.200000e+00	5.767750e-07	2.821099e-08	2.821099e-08
-4.200000e+00	-3.800000e+00	1.208744e-06	4.083966e-08	4.083966e-08
-3.800000e+00	-3.400000e+00	2.033891e-06	5.297597e-08	5.297597e-08
-3.400000e+00	-3.000000e+00	2.889395e-06	6.314202e-08	6.314202e-08
-3.000000e+00	-2.600000e+00	3.486868e-06	6.936378e-08	6.936378e-08
-2.600000e+00	-2.200000e+00	3.954635e-06	7.387002e-08	7.387002e-08
-2.200000e+00	-1.800000e+00	4.139532e-06	7.557720e-08	7.557720e-08
-1.800000e+00	-1.400000e+00	3.849765e-06	7.288401e-08	7.288401e-08
-1.400000e+00	-1.000000e+00	3.537920e-06	6.986974e-08	6.986974e-08
-1.000000e+00	-6.000000e-01	3.111550e-06	6.552446e-08	6.552446e-08
-6.000000e-01	-2.000000e-01	2.737613e-06	6.146119e-08	6.146119e-08
-2.000000e-01	2.000000e-01	2.715535e-06	6.121286e-08	6.121286e-08
2.000000e-01	6.000000e-01	2.744510e-06	6.153859e-08	6.153859e-08
6.000000e-01	1.000000e+00	2.987362e-06	6.420356e-08	6.420356e-08
1.000000e+00	1.400000e+00	3.504805e-06	6.954197e-08	6.954197e-08
1.400000e+00	1.800000e+00	3.958775e-06	7.390867e-08	7.390867e-08
1.800000e+00	2.200000e+00	4.031905e-06	7.458822e-08	7.458822e-08
2.200000e+00	2.600000e+00	3.967053e-06	7.398592e-08	7.398592e-08
2.600000e+00	3.000000e+00	3.508945e-06	6.958303e-08	6.958303e-08
3.000000e+00	3.400000e+00	2.936310e-06	6.365257e-08	6.365257e-08
3.400000e+00	3.800000e+00	2.022852e-06	5.283201e-08	5.283201e-08
3.800000e+00	4.200000e+00	1.223922e-06	4.109528e-08	4.109528e-08
4.200000e+00	4.600000e+00	6.167905e-07	2.917319e-08	2.917319e-08
4.600000e+00	5.000000e+00	2.304340e-07	1.783152e-08	1.783152e-08
# END HISTO1D

