# BEGIN PLOT
Legend=1
LogY=1
Title=Rapidity of fourth jet
XLabel=$y(\mathrm{jet~4})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}y(\mathrm{jet~4})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_4 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_4
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_4 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_4 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_4
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_4
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_4
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_4
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.661330e-07	2.109892e-08	2.109892e-08
-4.600000e+00	-4.200000e+00	3.965758e-07	3.259832e-08	3.259832e-08
-4.200000e+00	-3.800000e+00	7.100847e-07	4.362016e-08	4.362016e-08
-3.800000e+00	-3.400000e+00	1.050390e-06	5.305269e-08	5.305269e-08
-3.400000e+00	-3.000000e+00	1.803348e-06	6.951394e-08	6.951394e-08
-3.000000e+00	-2.600000e+00	2.149012e-06	7.588423e-08	7.588423e-08
-2.600000e+00	-2.200000e+00	2.400891e-06	8.020813e-08	8.020813e-08
-2.200000e+00	-1.800000e+00	2.609897e-06	8.362648e-08	8.362648e-08
-1.800000e+00	-1.400000e+00	2.483957e-06	8.158385e-08	8.158385e-08
-1.400000e+00	-1.000000e+00	2.146332e-06	7.583691e-08	7.583691e-08
-1.000000e+00	-6.000000e-01	1.878375e-06	7.094526e-08	7.094526e-08
-6.000000e-01	-2.000000e-01	1.948044e-06	7.224895e-08	7.224895e-08
-2.000000e-01	2.000000e-01	1.709563e-06	6.768224e-08	6.768224e-08
2.000000e-01	6.000000e-01	1.856939e-06	7.053928e-08	7.053928e-08
6.000000e-01	1.000000e+00	2.004315e-06	7.328501e-08	7.328501e-08
1.000000e+00	1.400000e+00	2.253515e-06	7.770740e-08	7.770740e-08
1.400000e+00	1.800000e+00	2.333901e-06	7.908125e-08	7.908125e-08
1.800000e+00	2.200000e+00	2.612577e-06	8.366940e-08	8.366940e-08
2.200000e+00	2.600000e+00	2.240117e-06	7.747606e-08	7.747606e-08
2.600000e+00	3.000000e+00	2.039149e-06	7.391910e-08	7.391910e-08
3.000000e+00	3.400000e+00	1.680088e-06	6.709623e-08	6.709623e-08
3.400000e+00	3.800000e+00	1.262075e-06	5.815336e-08	5.815336e-08
3.800000e+00	4.200000e+00	8.119082e-07	4.664291e-08	4.664291e-08
4.200000e+00	4.600000e+00	4.072940e-07	3.303590e-08	3.303590e-08
4.600000e+00	5.000000e+00	1.688126e-07	2.126839e-08	2.126839e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_4
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jet_y_4
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.853095e-07	2.230864e-08	2.230864e-08
-4.600000e+00	-4.200000e+00	3.545050e-07	3.085570e-08	3.085570e-08
-4.200000e+00	-3.800000e+00	8.406067e-07	4.751390e-08	4.751390e-08
-3.800000e+00	-3.400000e+00	1.187055e-06	5.646244e-08	5.646244e-08
-3.400000e+00	-3.000000e+00	1.683899e-06	6.724845e-08	6.724845e-08
-3.000000e+00	-2.600000e+00	2.086746e-06	7.486159e-08	7.486159e-08
-2.600000e+00	-2.200000e+00	2.411709e-06	8.047977e-08	8.047977e-08
-2.200000e+00	-1.800000e+00	2.543305e-06	8.264631e-08	8.264631e-08
-1.800000e+00	-1.400000e+00	2.285483e-06	7.834537e-08	7.834537e-08
-1.400000e+00	-1.000000e+00	2.333825e-06	7.916960e-08	7.916960e-08
-1.000000e+00	-6.000000e-01	1.955149e-06	7.246265e-08	7.246265e-08
-6.000000e-01	-2.000000e-01	1.794011e-06	6.941235e-08	6.941235e-08
-2.000000e-01	2.000000e-01	1.745669e-06	6.847077e-08	6.847077e-08
2.000000e-01	6.000000e-01	1.761783e-06	6.878606e-08	6.878606e-08
6.000000e-01	1.000000e+00	2.006176e-06	7.340216e-08	7.340216e-08
1.000000e+00	1.400000e+00	2.188800e-06	7.667033e-08	7.667033e-08
1.400000e+00	1.800000e+00	2.333825e-06	7.916960e-08	7.916960e-08
1.800000e+00	2.200000e+00	2.556732e-06	8.286420e-08	8.286420e-08
2.200000e+00	2.600000e+00	2.223714e-06	7.727939e-08	7.727939e-08
2.600000e+00	3.000000e+00	2.258627e-06	7.788369e-08	7.788369e-08
3.000000e+00	3.400000e+00	1.673157e-06	6.703360e-08	6.703360e-08
3.400000e+00	3.800000e+00	1.326709e-06	5.969143e-08	5.969143e-08
3.800000e+00	4.200000e+00	8.030077e-07	4.643913e-08	4.643913e-08
4.200000e+00	4.600000e+00	3.867328e-07	3.222773e-08	3.222773e-08
4.600000e+00	5.000000e+00	1.987377e-07	2.310279e-08	2.310279e-08
