# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta R$ separation between jets
LegendXPos=0.10
LegendYPos=0.5
XLabel=$\Delta{R}(\mathrm{jet~1,~jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mathrm{jet~1,~jet~2})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_12 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_12
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_12 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_12 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_12
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_12
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	1.071826e-08	7.578956e-09	7.578956e-09
4.000000e-01	6.000000e-01	7.679635e-06	2.028698e-07	2.028698e-07
6.000000e-01	8.000000e-01	6.972230e-06	1.933005e-07	1.933005e-07
8.000000e-01	1.000000e+00	5.498470e-06	1.716595e-07	1.716595e-07
1.000000e+00	1.200000e+00	4.528466e-06	1.557840e-07	1.557840e-07
1.200000e+00	1.400000e+00	4.013989e-06	1.466680e-07	1.466680e-07
1.400000e+00	1.600000e+00	4.019348e-06	1.467658e-07	1.467658e-07
1.600000e+00	1.800000e+00	4.539184e-06	1.559682e-07	1.559682e-07
1.800000e+00	2.000000e+00	5.535980e-06	1.722442e-07	1.722442e-07
2.000000e+00	2.200000e+00	6.425600e-06	1.855684e-07	1.855684e-07
2.200000e+00	2.400000e+00	8.065490e-06	2.079039e-07	2.079039e-07
2.400000e+00	2.600000e+00	1.072362e-05	2.397275e-07	2.397275e-07
2.600000e+00	2.800000e+00	1.375153e-05	2.714705e-07	2.714705e-07
2.800000e+00	3.000000e+00	1.879447e-05	3.173673e-07	3.173673e-07
3.000000e+00	3.200000e+00	2.393924e-05	3.581808e-07	3.581808e-07
3.200000e+00	3.400000e+00	2.571311e-05	3.712141e-07	3.712141e-07
3.400000e+00	3.600000e+00	2.784604e-05	3.863038e-07	3.863038e-07
3.600000e+00	3.800000e+00	2.924478e-05	3.958871e-07	3.958871e-07
3.800000e+00	4.000000e+00	2.989859e-05	4.002880e-07	4.002880e-07
4.000000e+00	4.200000e+00	3.150633e-05	4.109094e-07	4.109094e-07
4.200000e+00	4.400000e+00	3.062743e-05	4.051375e-07	4.051375e-07
4.400000e+00	4.600000e+00	3.058992e-05	4.048893e-07	4.048893e-07
4.600000e+00	4.800000e+00	2.864455e-05	3.918034e-07	3.918034e-07
