# BEGIN PLOT
Legend=1
LogY=1
Title=$\Delta R$ separation between jets
LegendXPos=0.10
LegendYPos=0.5
XLabel=$\Delta{R}(\mathrm{jet~2,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta{R}(\mathrm{jet~2,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_23
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_23
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_23
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_23
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dR_23
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	2.000000e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.000000e-01	4.000000e-01	7.502785e-08	2.005203e-08	2.005203e-08
4.000000e-01	6.000000e-01	2.217073e-05	3.446967e-07	3.446967e-07
6.000000e-01	8.000000e-01	2.079343e-05	3.338184e-07	3.338184e-07
8.000000e-01	1.000000e+00	1.520386e-05	2.854461e-07	2.854461e-07
1.000000e+00	1.200000e+00	1.187048e-05	2.522210e-07	2.522210e-07
1.200000e+00	1.400000e+00	1.020915e-05	2.339063e-07	2.339063e-07
1.400000e+00	1.600000e+00	8.762180e-06	2.166972e-07	2.166972e-07
1.600000e+00	1.800000e+00	7.910075e-06	2.058911e-07	2.058911e-07
1.800000e+00	2.000000e+00	7.159800e-06	1.958834e-07	1.958834e-07
2.000000e+00	2.200000e+00	6.591730e-06	1.879520e-07	1.879520e-07
2.200000e+00	2.400000e+00	6.141565e-06	1.814206e-07	1.814206e-07
2.400000e+00	2.600000e+00	6.806095e-06	1.909836e-07	1.909836e-07
2.600000e+00	2.800000e+00	7.036540e-06	1.941899e-07	1.941899e-07
2.800000e+00	3.000000e+00	7.454550e-06	1.998748e-07	1.998748e-07
3.000000e+00	3.200000e+00	7.942230e-06	2.063091e-07	2.063091e-07
3.200000e+00	3.400000e+00	7.695710e-06	2.030821e-07	2.030821e-07
3.400000e+00	3.600000e+00	7.626045e-06	2.021608e-07	2.021608e-07
3.600000e+00	3.800000e+00	6.993665e-06	1.935975e-07	1.935975e-07
3.800000e+00	4.000000e+00	7.583170e-06	2.015917e-07	2.015917e-07
4.000000e+00	4.200000e+00	7.422395e-06	1.994432e-07	1.994432e-07
4.200000e+00	4.400000e+00	7.283060e-06	1.975623e-07	1.975623e-07
4.400000e+00	4.600000e+00	7.315215e-06	1.979979e-07	1.979979e-07
