# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendYPos=0.5
LegendXPos=0.30
XLabel=$\Delta\eta(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta(\mathrm{jet~1,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_13 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_13 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_13
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_13 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_13 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_13
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_13
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_13
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_13
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	3.110975e-06	9.130204e-08	9.130204e-08
-4.600000e+00	-4.200000e+00	3.395010e-06	9.537898e-08	9.537898e-08
-4.200000e+00	-3.800000e+00	3.767470e-06	1.004748e-07	1.004748e-07
-3.800000e+00	-3.400000e+00	3.869293e-06	1.018235e-07	1.018235e-07
-3.400000e+00	-3.000000e+00	4.008630e-06	1.036407e-07	1.036407e-07
-3.000000e+00	-2.600000e+00	4.121173e-06	1.050854e-07	1.050854e-07
-2.600000e+00	-2.200000e+00	3.713878e-06	9.975761e-08	9.975761e-08
-2.200000e+00	-1.800000e+00	3.901447e-06	1.022457e-07	1.022457e-07
-1.800000e+00	-1.400000e+00	4.043465e-06	1.040900e-07	1.040900e-07
-1.400000e+00	-1.000000e+00	4.507030e-06	1.098949e-07	1.098949e-07
-1.000000e+00	-6.000000e-01	6.463113e-06	1.315991e-07	1.315991e-07
-6.000000e-01	-2.000000e-01	9.137318e-06	1.564738e-07	1.564738e-07
-2.000000e-01	2.000000e-01	7.647480e-06	1.431500e-07	1.431500e-07
2.000000e-01	6.000000e-01	8.920272e-06	1.546042e-07	1.546042e-07
6.000000e-01	1.000000e+00	6.334492e-06	1.302831e-07	1.302831e-07
1.000000e+00	1.400000e+00	4.557940e-06	1.105138e-07	1.105138e-07
1.400000e+00	1.800000e+00	3.813022e-06	1.010804e-07	1.010804e-07
1.800000e+00	2.200000e+00	3.850535e-06	1.015764e-07	1.015764e-07
2.200000e+00	2.600000e+00	3.804983e-06	1.009738e-07	1.009738e-07
2.600000e+00	3.000000e+00	3.989873e-06	1.033979e-07	1.033979e-07
3.000000e+00	3.400000e+00	4.011310e-06	1.036753e-07	1.036753e-07
3.400000e+00	3.800000e+00	3.834458e-06	1.013641e-07	1.013641e-07
3.800000e+00	4.200000e+00	3.668325e-06	9.914393e-08	9.914393e-08
4.200000e+00	4.600000e+00	3.502193e-06	9.687285e-08	9.687285e-08
4.600000e+00	5.000000e+00	3.073462e-06	9.074990e-08	9.074990e-08
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_13
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_13
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	3.101920e-06	9.127239e-08	9.127239e-08
-4.600000e+00	-4.200000e+00	3.424198e-06	9.589669e-08	9.589669e-08
-4.200000e+00	-3.800000e+00	3.931782e-06	1.027588e-07	1.027588e-07
-3.800000e+00	-3.400000e+00	3.907613e-06	1.024425e-07	1.024425e-07
-3.400000e+00	-3.000000e+00	3.832415e-06	1.014520e-07	1.014520e-07
-3.000000e+00	-2.600000e+00	3.888813e-06	1.021957e-07	1.021957e-07
-2.600000e+00	-2.200000e+00	3.770645e-06	1.006311e-07	1.006311e-07
-2.200000e+00	-1.800000e+00	3.690075e-06	9.955014e-08	9.955014e-08
-1.800000e+00	-1.400000e+00	4.047267e-06	1.042570e-07	1.042570e-07
