# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendYPos=0.5
LegendXPos=0.30
XLabel=$\Delta\eta(\mathrm{jet~2,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\eta(\mathrm{jet~2,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_23
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_23
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_23
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_23
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_23
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.843020e-06	8.728148e-08	8.728148e-08
-4.600000e+00	-4.200000e+00	3.100258e-06	9.114463e-08	9.114463e-08
-4.200000e+00	-3.800000e+00	3.169925e-06	9.216303e-08	9.216303e-08
-3.800000e+00	-3.400000e+00	3.231555e-06	9.305462e-08	9.305462e-08
-3.400000e+00	-3.000000e+00	3.175285e-06	9.224089e-08	9.224089e-08
-3.000000e+00	-2.600000e+00	3.177965e-06	9.227981e-08	9.227981e-08
-2.600000e+00	-2.200000e+00	3.001113e-06	8.967542e-08	8.967542e-08
-2.200000e+00	-1.800000e+00	3.003792e-06	8.971545e-08	8.971545e-08
-1.800000e+00	-1.400000e+00	3.783547e-06	1.006889e-07	1.006889e-07
-1.400000e+00	-1.000000e+00	4.772305e-06	1.130827e-07	1.130827e-07
-1.000000e+00	-6.000000e-01	7.626042e-06	1.429492e-07	1.429492e-07
-6.000000e-01	-2.000000e-01	1.103981e-05	1.719939e-07	1.719939e-07
-2.000000e-01	2.000000e-01	9.228422e-06	1.572519e-07	1.572519e-07
2.000000e-01	6.000000e-01	1.134528e-05	1.743572e-07	1.743572e-07
6.000000e-01	1.000000e+00	7.537618e-06	1.421180e-07	1.421180e-07
1.000000e+00	1.400000e+00	4.493630e-06	1.097314e-07	1.097314e-07
1.400000e+00	1.800000e+00	3.545065e-06	9.746400e-08	9.746400e-08
1.800000e+00	2.200000e+00	3.287827e-06	9.386133e-08	9.386133e-08
2.200000e+00	2.600000e+00	2.947523e-06	8.887111e-08	8.887111e-08
2.600000e+00	3.000000e+00	3.194043e-06	9.251294e-08	9.251294e-08
3.000000e+00	3.400000e+00	3.188683e-06	9.243528e-08	9.243528e-08
3.400000e+00	3.800000e+00	3.003793e-06	8.971545e-08	8.971545e-08
3.800000e+00	4.200000e+00	3.153847e-06	9.192901e-08	9.192901e-08
4.200000e+00	4.600000e+00	3.228878e-06	9.301606e-08	9.301606e-08
4.600000e+00	5.000000e+00	2.875172e-06	8.777368e-08	8.777368e-08
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_23
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_23
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	2.854840e-06	8.756191e-08	8.756191e-08
-4.600000e+00	-4.200000e+00	2.991808e-06	8.963778e-08	8.963778e-08
-4.200000e+00	-3.800000e+00	3.279172e-06	9.384395e-08	9.384395e-08
-3.800000e+00	-3.400000e+00	3.236203e-06	9.322707e-08	9.322707e-08
-3.400000e+00	-3.000000e+00	3.193233e-06	9.260605e-08	9.260605e-08
-3.000000e+00	-2.600000e+00	2.970323e-06	8.931535e-08	8.931535e-08
-2.600000e+00	-2.200000e+00	3.053578e-06	9.055841e-08	9.055841e-08
-2.200000e+00	-1.800000e+00	3.169060e-06	9.225491e-08	9.225491e-08
-1.800000e+00	-1.400000e+00	3.475225e-06	9.660859e-08	9.660859e-08
-1.400000e+00	-1.000000e+00	4.635423e-06	1.115755e-07	1.115755e-07
-1.000000e+00	-6.000000e-01	7.619172e-06	1.430468e-07	1.430468e-07
-6.000000e-01	-2.000000e-01	1.117765e-05	1.732605e-07	1.732605e-07
-2.000000e-01	2.000000e-01	8.854570e-06	1.542084e-07	1.542084e-07
2.000000e-01	6.000000e-01	1.096012e-05	1.715662e-07	1.715662e-07
6.000000e-01	1.000000e+00	7.643345e-06	1.432735e-07	1.432735e-07
1.000000e+00	1.400000e+00	4.777763e-06	1.132756e-07	1.132756e-07
1.400000e+00	1.800000e+00	3.507452e-06	9.705549e-08	9.705549e-08
1.800000e+00	2.200000e+00	3.104605e-06	9.131193e-08	9.131193e-08
2.200000e+00	2.600000e+00	3.118033e-06	9.150919e-08	9.150919e-08
2.600000e+00	3.000000e+00	3.050893e-06	9.051858e-08	9.051858e-08
3.000000e+00	3.400000e+00	3.163690e-06	9.217670e-08	9.217670e-08
3.400000e+00	3.800000e+00	3.292600e-06	9.403593e-08	9.403593e-08
3.800000e+00	4.200000e+00	3.316770e-06	9.438045e-08	9.438045e-08
4.200000e+00	4.600000e+00	3.018665e-06	9.003923e-08	9.003923e-08
4.600000e+00	5.000000e+00	2.946152e-06	8.895122e-08	8.895122e-08
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_23
ErrorBars=1
LineColor=green
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_deta_23
ScaledBy=5.51937791219804204e-10
Title=VBSZZ@LO(v35x)
# xlow	 xhigh	 val	 errminus	 errplus
-5.000000e+00	-4.600000e+00	1.447457e-06	4.469078e-08	4.469078e-08
-4.600000e+00	-4.200000e+00	1.499891e-06	4.549304e-08	4.549304e-08
-4.200000e+00	-3.800000e+00	1.628216e-06	4.739922e-08	4.739922e-08
-3.800000e+00	-3.400000e+00	1.653054e-06	4.775936e-08	4.775936e-08
-3.400000e+00	-3.000000e+00	1.606139e-06	4.707677e-08	4.707677e-08
-3.000000e+00	-2.600000e+00	1.411581e-06	4.413346e-08	4.413346e-08
-2.600000e+00	-2.200000e+00	1.515069e-06	4.572264e-08	4.572264e-08
-2.200000e+00	-1.800000e+00	1.588201e-06	4.681315e-08	4.681315e-08
-1.800000e+00	-1.400000e+00	1.792418e-06	4.973186e-08	4.973186e-08
-1.400000e+00	-1.000000e+00	2.409209e-06	5.765703e-08	5.765703e-08
-1.000000e+00	-6.000000e-01	3.714543e-06	7.159252e-08	7.159252e-08
-6.000000e-01	-2.000000e-01	5.627005e-06	8.811580e-08	8.811580e-08
-2.000000e-01	2.000000e-01	4.630757e-06	7.993576e-08	7.993576e-08
2.000000e-01	6.000000e-01	5.595270e-06	8.786694e-08	8.786694e-08
6.000000e-01	1.000000e+00	3.917377e-06	7.352124e-08	7.352124e-08
1.000000e+00	1.400000e+00	2.409209e-06	5.765703e-08	5.765703e-08
1.400000e+00	1.800000e+00	1.775860e-06	4.950162e-08	4.950162e-08
1.800000e+00	2.200000e+00	1.582681e-06	4.673173e-08	4.673173e-08
2.200000e+00	2.600000e+00	1.595100e-06	4.691471e-08	4.691471e-08
2.600000e+00	3.000000e+00	1.622697e-06	4.731881e-08	4.731881e-08
3.000000e+00	3.400000e+00	1.636496e-06	4.751957e-08	4.751957e-08
3.400000e+00	3.800000e+00	1.680651e-06	4.815637e-08	4.815637e-08
3.800000e+00	4.200000e+00	1.621317e-06	4.729869e-08	4.729869e-08
4.200000e+00	4.600000e+00	1.579922e-06	4.669097e-08	4.669097e-08
4.600000e+00	5.000000e+00	1.443317e-06	4.462683e-08	4.462683e-08
# END HISTO1D

