# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{jet~1,~jet~2})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{jet~1,~jet~2})$ [pb]
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_12
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_12 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_12
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_12
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_12
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_12
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.409897e-05	3.467775e-07	3.467775e-07
1.256637e-01	2.513274e-01	1.448279e-05	3.514661e-07	3.514661e-07
2.513274e-01	3.769911e-01	1.604365e-05	3.699209e-07	3.699209e-07
3.769911e-01	5.026548e-01	1.828686e-05	3.949362e-07	3.949362e-07
5.026548e-01	6.283185e-01	1.753629e-05	3.867462e-07	3.867462e-07
6.283185e-01	7.539822e-01	1.646160e-05	3.747082e-07	3.747082e-07
7.539822e-01	8.796459e-01	1.689659e-05	3.796267e-07	3.796267e-07
8.796459e-01	1.005310e+00	1.658095e-05	3.760635e-07	3.760635e-07
1.005310e+00	1.130973e+00	1.774109e-05	3.889991e-07	3.889991e-07
1.130973e+00	1.256637e+00	1.881564e-05	4.006049e-07	4.006049e-07
1.256637e+00	1.382301e+00	2.117825e-05	4.250127e-07	4.250127e-07
1.382301e+00	1.507964e+00	2.263695e-05	4.394074e-07	4.394074e-07
1.507964e+00	1.633628e+00	2.519556e-05	4.635736e-07	4.635736e-07
1.633628e+00	1.759292e+00	2.714877e-05	4.812069e-07	4.812069e-07
1.759292e+00	1.884956e+00	3.068843e-05	5.116159e-07	5.116159e-07
1.884956e+00	2.010619e+00	3.583188e-05	5.528321e-07	5.528321e-07
2.010619e+00	2.136283e+00	3.942244e-05	5.798671e-07	5.798671e-07
2.136283e+00	2.261947e+00	4.487265e-05	6.186537e-07	6.186537e-07
2.261947e+00	2.387610e+00	5.156004e-05	6.631551e-07	6.631551e-07
2.387610e+00	2.513274e+00	5.713780e-05	6.981013e-07	6.981013e-07
2.513274e+00	2.638938e+00	6.367123e-05	7.369337e-07	7.369337e-07
2.638938e+00	2.764602e+00	7.179966e-05	7.825605e-07	7.825605e-07
2.764602e+00	2.890265e+00	7.780491e-05	8.146331e-07	8.146331e-07
2.890265e+00	3.015929e+00	8.562564e-05	8.545919e-07	8.545919e-07
