# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{jet~1,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_13 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_13 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_13
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_13 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_13 //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_13
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_13
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_13
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_dphi_13
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	1.555748e-05	3.642730e-07	3.642730e-07
1.256637e-01	2.513274e-01	1.597542e-05	3.691335e-07	3.691335e-07
2.513274e-01	3.769911e-01	1.803951e-05	3.922561e-07	3.922561e-07
3.769911e-01	5.026548e-01	2.256006e-05	4.386593e-07	4.386593e-07
5.026548e-01	6.283185e-01	1.966862e-05	4.095851e-07	4.095851e-07
6.283185e-01	7.539822e-01	1.571101e-05	3.660659e-07	3.660659e-07
7.539822e-01	8.796459e-01	1.396250e-05	3.450951e-07	3.450951e-07
8.796459e-01	1.005310e+00	1.311806e-05	3.344963e-07	3.344963e-07
1.005310e+00	1.130973e+00	1.316935e-05	3.351511e-07	3.351511e-07
1.130973e+00	1.256637e+00	1.142073e-05	3.121071e-07	3.121071e-07
1.256637e+00	1.382301e+00	1.275131e-05	3.297874e-07	3.297874e-07
1.382301e+00	1.507964e+00	1.275994e-05	3.299003e-07	3.299003e-07
1.507964e+00	1.633628e+00	1.297307e-05	3.326428e-07	3.326428e-07
1.633628e+00	1.759292e+00	1.309248e-05	3.341701e-07	3.341701e-07
1.759292e+00	1.884956e+00	1.369806e-05	3.418112e-07	3.418112e-07
1.884956e+00	2.010619e+00	1.516522e-05	3.596523e-07	3.596523e-07
2.010619e+00	2.136283e+00	1.568538e-05	3.657668e-07	3.657668e-07
2.136283e+00	2.261947e+00	1.650420e-05	3.751923e-07	3.751923e-07
2.261947e+00	2.387610e+00	1.815050e-05	3.934620e-07	3.934620e-07
2.387610e+00	2.513274e+00	1.900329e-05	4.025975e-07	4.025975e-07
2.513274e+00	2.638938e+00	2.097356e-05	4.229536e-07	4.229536e-07
2.638938e+00	2.764602e+00	2.076885e-05	4.208846e-07	4.208846e-07
