# BEGIN PLOT
Legend=1
LogY=1
Title=Dijet invariant mass spectrum
XLabel=$m_{jj}$ [GeV]
YLabel=$\mathrm{d}\sigma/\mathrm{d}m_{jj}$ [pb/GeV]
LegendAlign=r
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_mjj //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_mjj //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_mjj
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_mjj //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_mjj //eos/home-y/youpeng/valid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_mjj
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_mjj
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_mjj
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13600/jets_mjj
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.700000e+02	5.580431e-08	5.931597e-10	5.931597e-10
1.700000e+02	3.400000e+02	7.976906e-08	7.091776e-10	7.091776e-10
3.400000e+02	5.100000e+02	8.377900e-08	7.267839e-10	7.267839e-10
5.100000e+02	6.800000e+02	7.674276e-08	6.955949e-10	6.955949e-10
6.800000e+02	8.500000e+02	6.524900e-08	6.413936e-10	6.413936e-10
8.500000e+02	1.020000e+03	5.543864e-08	5.912131e-10	5.912131e-10
1.020000e+03	1.190000e+03	4.709731e-08	5.449238e-10	5.449238e-10
1.190000e+03	1.360000e+03	3.857314e-08	4.931513e-10	4.931513e-10
1.360000e+03	1.530000e+03	3.183954e-08	4.480445e-10	4.480445e-10
1.530000e+03	1.700000e+03	2.560404e-08	4.017834e-10	4.017834e-10
1.700000e+03	1.870000e+03	2.112128e-08	3.649201e-10	3.649201e-10
1.870000e+03	2.040000e+03	1.708617e-08	3.282163e-10	3.282163e-10
2.040000e+03	2.210000e+03	1.428051e-08	3.000610e-10	3.000610e-10
2.210000e+03	2.380000e+03	1.163877e-08	2.708890e-10	2.708890e-10
2.380000e+03	2.550000e+03	9.501424e-09	2.447553e-10	2.447553e-10
2.550000e+03	2.720000e+03	7.017312e-09	2.103406e-10	2.103406e-10
2.720000e+03	2.890000e+03	6.412041e-09	2.010647e-10	2.010647e-10
2.890000e+03	3.060000e+03	5.132156e-09	1.798820e-10	1.798820e-10
3.060000e+03	3.230000e+03	4.318829e-09	1.650140e-10	1.650140e-10
3.230000e+03	3.400000e+03	3.215478e-09	1.423838e-10	1.423838e-10
3.400000e+03	3.570000e+03	2.635431e-09	1.289032e-10	1.289032e-10
3.570000e+03	3.740000e+03	2.206701e-09	1.179531e-10	1.179531e-10
3.740000e+03	3.910000e+03	1.689702e-09	1.032150e-10	1.032150e-10
3.910000e+03	4.080000e+03	1.469032e-09	9.623950e-11	9.623950e-11
4.080000e+03	4.250000e+03	1.071826e-09	8.220531e-11	8.220531e-11
4.250000e+03	4.420000e+03	9.457288e-10	7.721845e-11	7.721845e-11
4.420000e+03	4.590000e+03	8.385465e-10	7.271119e-11	7.271119e-11
4.590000e+03	4.760000e+03	5.233034e-10	5.744001e-11	5.744001e-11
4.760000e+03	4.930000e+03	4.917791e-10	5.568301e-11	5.568301e-11
4.930000e+03	5.100000e+03	2.837187e-10	4.229429e-11	4.229429e-11
5.100000e+03	5.270000e+03	2.711090e-10	4.134373e-11	4.134373e-11
5.270000e+03	5.440000e+03	2.017555e-10	3.566567e-11	3.566567e-11
