# BEGIN PLOT
Legend=1
LogY=1
Title=$\log_{10}$($k_\perp$ jet resolution $2 \to 3$ [GeV])
XLabel=$\log_{10}(d_{23}/\mathrm{GeV})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\log_{10}(d_{23}/\mathrm{GeV})$ [pb]
LegendXPos=0.15
LegendYPos=0.5
Rebin=2
RemoveOptions=1
DrawOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZKTSPLITTINGS:ENERGY=13600/log10_d_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZKTSPLITTINGS:ENERGY=13600/log10_d_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZKTSPLITTINGS:ENERGY=13600/log10_d_23
LegendOnly=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZKTSPLITTINGS:ENERGY=13600/log10_d_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZKTSPLITTINGS:ENERGY=13600/log10_d_23 //ospool/cms-user/youpeng/genvalid/genValidation/mg35xVBS_merged.yoda.gz/MC_ZZKTSPLITTINGS:ENERGY=13600/log10_d_23
RatioPlot=1
RatioPlotReference=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZKTSPLITTINGS:ENERGY=13600/log10_d_23
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZKTSPLITTINGS:ENERGY=13600/log10_d_23
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/masterVBS_merged.yoda.gz/MC_ZZKTSPLITTINGS:ENERGY=13600/log10_d_23
ScaledBy=1.07182617187499956e-09
Title=VBSZZ@LO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.363251e-01	1.180260e-07	5.901298e-08	5.901298e-08
2.363251e-01	2.726502e-01	8.851948e-08	5.110674e-08	5.110674e-08
2.726502e-01	3.089753e-01	1.770389e-07	7.227584e-08	7.227584e-08
3.089753e-01	3.453004e-01	4.130909e-07	1.104032e-07	1.104032e-07
3.453004e-01	3.816254e-01	5.311182e-07	1.251858e-07	1.251858e-07
3.816254e-01	4.179505e-01	7.081558e-07	1.445517e-07	1.445517e-07
4.179505e-01	4.542756e-01	1.327792e-06	1.979355e-07	1.979355e-07
4.542756e-01	4.906007e-01	1.475325e-06	2.086424e-07	2.086424e-07
4.906007e-01	5.269258e-01	2.537558e-06	2.736319e-07	2.736319e-07
5.269258e-01	5.632509e-01	3.865349e-06	3.377172e-07	3.377172e-07
5.632509e-01	5.995760e-01	5.104622e-06	3.880973e-07	3.880973e-07
5.995760e-01	6.359011e-01	7.081558e-06	4.571125e-07	4.571125e-07
6.359011e-01	6.722262e-01	9.737140e-06	5.360120e-07	5.360120e-07
6.722262e-01	7.085512e-01	1.206819e-05	5.967334e-07	5.967334e-07
7.085512e-01	7.448763e-01	1.537288e-05	6.734981e-07	6.734981e-07
7.448763e-01	7.812014e-01	2.145122e-05	7.955816e-07	7.955816e-07
7.812014e-01	8.175265e-01	2.549361e-05	8.673101e-07	8.673101e-07
8.175265e-01	8.538516e-01	3.045071e-05	9.478887e-07	9.478887e-07
8.538516e-01	8.901767e-01	3.797484e-05	1.058539e-06	1.058539e-06
8.901767e-01	9.265018e-01	4.700383e-05	1.177675e-06	1.177675e-06
9.265018e-01	9.628269e-01	5.632788e-05	1.289201e-06	1.289201e-06
9.628269e-01	9.991520e-01	7.007791e-05	1.437968e-06	1.437968e-06
9.991520e-01	1.035477e+00	8.102505e-05	1.546212e-06	1.546212e-06
1.035477e+00	1.071802e+00	9.386040e-05	1.664181e-06	1.664181e-06
1.071802e+00	1.108127e+00	1.016206e-04	1.731611e-06	1.731611e-06
1.108127e+00	1.144452e+00	1.169936e-04	1.857977e-06	1.857977e-06
1.144452e+00	1.180777e+00	1.246653e-04	1.917927e-06	1.917927e-06
1.180777e+00	1.217102e+00	1.360843e-04	2.003842e-06	2.003842e-06
1.217102e+00	1.253428e+00	1.377919e-04	2.016347e-06	2.016347e-06
1.253428e+00	1.289753e+00	1.436970e-04	2.059127e-06	2.059127e-06
1.289753e+00	1.326078e+00	1.399497e-04	2.032101e-06	2.032101e-06
1.326078e+00	1.362403e+00	1.427823e-04	2.052563e-06	2.052563e-06
1.362403e+00	1.398728e+00	1.372941e-04	2.012729e-06	2.012729e-06
1.398728e+00	1.435053e+00	1.344024e-04	1.991420e-06	1.991420e-06
1.435053e+00	1.471378e+00	1.298879e-04	1.957689e-06	1.957689e-06
1.471378e+00	1.507703e+00	1.275274e-04	1.939819e-06	1.939819e-06
1.507703e+00	1.544028e+00	1.240751e-04	1.913382e-06	1.913382e-06
1.544028e+00	1.580353e+00	1.159903e-04	1.849994e-06	1.849994e-06
1.580353e+00	1.616678e+00	1.128331e-04	1.824642e-06	1.824642e-06
1.616678e+00	1.653004e+00	1.010572e-04	1.726780e-06	1.726780e-06
1.653004e+00	1.689329e+00	9.872897e-05	1.706796e-06	1.706796e-06
1.689329e+00	1.725654e+00	8.863774e-05	1.617218e-06	1.617218e-06
1.725654e+00	1.761979e+00	7.869401e-05	1.523808e-06	1.523808e-06
1.761979e+00	1.798304e+00	6.907488e-05	1.427642e-06	1.427642e-06
1.798304e+00	1.834629e+00	6.506200e-05	1.385553e-06	1.385553e-06
1.834629e+00	1.870954e+00	5.703620e-05	1.297283e-06	1.297283e-06
1.870954e+00	1.907279e+00	4.667939e-05	1.173605e-06	1.173605e-06
1.907279e+00	1.943604e+00	4.130921e-05	1.104035e-06	1.104035e-06
1.943604e+00	1.979929e+00	3.225068e-05	9.755035e-07	9.755035e-07
1.979929e+00	2.016254e+00	2.823780e-05	9.127979e-07	9.127979e-07
2.016254e+00	2.052580e+00	2.419472e-05	8.449163e-07	8.449163e-07
2.052580e+00	2.088905e+00	1.858914e-05	7.406090e-07	7.406090e-07
2.088905e+00	2.125230e+00	1.554996e-05	6.773670e-07	6.773670e-07
2.125230e+00	2.161555e+00	1.277634e-05	6.139920e-07	6.139920e-07
2.161555e+00	2.197880e+00	8.940490e-06	5.136178e-07	5.136178e-07
2.197880e+00	2.234205e+00	6.875031e-06	4.503982e-07	4.503982e-07
2.234205e+00	2.270530e+00	5.222662e-06	3.925594e-07	3.925594e-07
2.270530e+00	2.306855e+00	4.455493e-06	3.625828e-07	3.625828e-07
2.306855e+00	2.343180e+00	2.626085e-06	2.783644e-07	2.783644e-07
2.343180e+00	2.379505e+00	1.858914e-06	2.342011e-07	2.342011e-07
2.379505e+00	2.415830e+00	1.711381e-06	2.247153e-07	2.247153e-07
2.415830e+00	2.452156e+00	1.032702e-06	1.745584e-07	1.745584e-07
2.452156e+00	2.488481e+00	9.737167e-07	1.695023e-07	1.695023e-07
2.488481e+00	2.524806e+00	2.950657e-07	9.330795e-08	9.330795e-08
2.524806e+00	2.561131e+00	3.245723e-07	9.786220e-08	9.786220e-08
2.561131e+00	2.597456e+00	1.475329e-07	6.597870e-08	6.597870e-08
2.597456e+00	2.633781e+00	2.950657e-08	2.950657e-08	2.950657e-08
2.633781e+00	2.670106e+00	2.950657e-08	2.950657e-08	2.950657e-08
2.670106e+00	2.706431e+00	2.950657e-08	2.950657e-08	2.950657e-08
2.706431e+00	2.742756e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.742756e+00	2.779081e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.779081e+00	2.815406e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.815406e+00	2.851732e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.851732e+00	2.888057e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.888057e+00	2.924382e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.924382e+00	2.960707e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.960707e+00	2.997032e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.997032e+00	3.033357e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.033357e+00	3.069682e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.069682e+00	3.106007e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.106007e+00	3.142332e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.142332e+00	3.178657e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.178657e+00	3.214982e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.214982e+00	3.251307e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.251307e+00	3.287633e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.287633e+00	3.323958e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.323958e+00	3.360283e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.360283e+00	3.396608e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.396608e+00	3.432933e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.432933e+00	3.469258e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.469258e+00	3.505583e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.505583e+00	3.541908e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.541908e+00	3.578233e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.578233e+00	3.614558e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.614558e+00	3.650883e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.650883e+00	3.687209e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.687209e+00	3.723534e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.723534e+00	3.759859e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.759859e+00	3.796184e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.796184e+00	3.832509e+00	0.000000e+00	0.000000e+00	0.000000e+00
# END HISTO1D


# BEGIN HISTO1D //ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZKTSPLITTINGS:ENERGY=13600/log10_d_23
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//ospool/cms-user/youpeng/genvalid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZKTSPLITTINGS:ENERGY=13600/log10_d_23
ScaledBy=1.07425781250000051e-09
Title=VBSZZ@LO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
2.000000e-01	2.363251e-01	5.914687e-08	4.182315e-08	4.182315e-08
2.363251e-01	2.726502e-01	2.957344e-08	2.957343e-08	2.957343e-08
2.726502e-01	3.089753e-01	2.957344e-07	9.351940e-08	9.351940e-08
3.089753e-01	3.453004e-01	2.661609e-07	8.872030e-08	8.872030e-08
3.453004e-01	3.816254e-01	3.844556e-07	1.066288e-07	1.066288e-07
3.816254e-01	4.179505e-01	7.984826e-07	1.536681e-07	1.536681e-07
4.179505e-01	4.542756e-01	8.872028e-07	1.619804e-07	1.619804e-07
4.542756e-01	4.906007e-01	1.685686e-06	2.232745e-07	2.232745e-07
4.906007e-01	5.269258e-01	2.336301e-06	2.628544e-07	2.628544e-07
5.269258e-01	5.632509e-01	3.667106e-06	3.293158e-07	3.293158e-07
5.632509e-01	5.995760e-01	5.648524e-06	4.087129e-07	4.087129e-07
5.995760e-01	6.359011e-01	6.920182e-06	4.523865e-07	4.523865e-07
6.359011e-01	6.722262e-01	9.611365e-06	5.331426e-07	5.331426e-07
6.722262e-01	7.085512e-01	1.200685e-05	5.958897e-07	5.958897e-07
7.085512e-01	7.448763e-01	1.466842e-05	6.586316e-07	6.586316e-07
7.448763e-01	7.812014e-01	1.886785e-05	7.469853e-07	7.469853e-07
7.812014e-01	8.175265e-01	2.608377e-05	8.782859e-07	8.782859e-07
8.175265e-01	8.538516e-01	3.223504e-05	9.763714e-07	9.763714e-07
8.538516e-01	8.901767e-01	3.782442e-05	1.057638e-06	1.057638e-06
8.901767e-01	9.265018e-01	4.758365e-05	1.186260e-06	1.186260e-06
9.265018e-01	9.628269e-01	5.849625e-05	1.315270e-06	1.315270e-06
9.628269e-01	9.991520e-01	6.719084e-05	1.409632e-06	1.409632e-06
9.991520e-01	1.035477e+00	8.330858e-05	1.569626e-06	1.569626e-06
1.035477e+00	1.071802e+00	9.247637e-05	1.653738e-06	1.653738e-06
1.071802e+00	1.108127e+00	1.100430e-04	1.803984e-06	1.803984e-06
1.108127e+00	1.144452e+00	1.192995e-04	1.878325e-06	1.878325e-06
1.144452e+00	1.180777e+00	1.230554e-04	1.907663e-06	1.907663e-06
